id,pred_saraV1,pred_saraV2,botometer,classe
193818184,0,0,1,1
356103137,0,0,1,1
730577459293249543,0,0,1,1
2858113394,0,0,1,1
2247288438,0,0,1,1
354863088,0,0,1,1
636598905,0,0,1,1
3378748334,0,0,1,1
863047812631613441,0,0,1,1
83490960,0,0,1,1
152892141,0,0,1,1
254291780,0,0,1,1
40798827,0,0,1,1
2670999326,0,0,1,1
2576112944,1,0,1,1
2661078552,0,0,1,1
334365787,0,0,1,1
263866717,0,0,1,1
2958596984,0,0,0,1
225534962,0,0,1,1
945653458270527489,0,0,1,1
71602798,0,0,0,1
2200839001,0,0,1,1
2179221553,1,1,0,1
947335707223191552,0,0,1,1
714136838,0,0,1,1
501314123,0,0,0,1
551386596,0,0,1,1
604319265,0,0,1,1
2273769613,0,0,1,1
864260954,0,0,1,1
2893629168,0,0,1,1
378939240,1,0,0,1
2240344764,0,0,1,1
1224365148,0,0,1,1
826079983,0,0,1,1
2807583768,0,0,0,1
4830577123,0,0,1,1
322303497,0,0,1,1
436296702,0,0,1,1
946277719,0,0,1,1
2298726172,0,0,1,1
436376161,0,0,0,1
902406518871601152,0,0,1,1
448682226,0,0,1,1
189271687,0,0,1,1
458584305,0,0,1,1
952533181995061248,1,0,0,1
469122450,0,0,1,1
737127481,0,0,1,1
3194175062,0,0,1,1
1607015010,0,0,1,1
738850194,0,1,1,1
257976039,0,0,1,1
2223168968,0,0,1,1
2342923344,0,0,1,1
600421707,0,0,1,1
760136292,0,0,1,1
933722352596242432,0,0,1,1
1524874524,0,0,1,1
3287216719,0,0,1,1
147225606,0,0,1,1
713345772364767232,0,0,1,1
545366855,0,0,1,1
18583783,1,0,1,1
436438204,0,0,0,1
42352323,0,0,1,1
386774575,0,0,0,1
4831682733,0,0,1,1
120524196,0,0,1,1
2652129859,0,0,1,1
2853714675,0,0,1,1
1407458851,0,0,1,1
419062020,0,0,1,1
211301792,0,0,0,1
496562302,0,0,1,1
485056733,0,0,1,1
621670424,0,0,1,1
2797833497,0,0,0,1
1451242477,0,0,1,1
110045963,0,0,1,1
1532898176,0,0,1,1
427635640,0,0,1,1
977043217,1,0,1,1
197254066,0,0,1,1
982097468,0,0,1,1
2826489356,0,0,1,1
2446353114,0,0,1,1
1245459300,0,0,1,1
54169825,0,0,1,1
817101949,0,0,1,1
738670332,0,0,1,1
495453239,0,0,1,1
169538974,0,0,1,1
284577198,0,0,1,1
2421307650,0,0,1,1
1163562415,0,0,1,1
3262306109,0,0,0,1
449919396,0,0,0,1
956133580966629376,1,1,1,1
824331717347573762,0,0,0,1
2168318184,0,0,0,1
295878207,0,0,0,1
235696377,0,0,1,1
1099868900,0,0,1,1
2386868269,0,0,1,1
1696547191,0,0,1,1
1875298140,0,0,1,1
704763678193786880,0,0,1,1
564514120,0,0,1,1
3254291902,0,0,0,1
1143784212,0,0,1,1
291599967,0,0,1,1
451839834,0,0,1,1
1055593280036069376,1,1,1,1
1055876250227531776,0,1,0,1
1056171953021730817,0,1,1,1
1057594193487454208,1,1,1,1
1055454848877916166,0,1,0,1
1066532292254932993,1,1,1,1
